3512734765.384	20.045	28.137	2.625	366.849
3512734767.386	25.355	27.865	0.210	364.337
3512734769.191	26.451	28.002	0.630	361.721
3512734770.186	25.224	27.683	0.420	360.996
3512734771.191	23.006	28.271	1.575	359.745
3512734772.188	24.773	27.952	1.260	357.444
3512734773.188	26.990	28.699	0.420	356.089
3512734774.186	22.650	28.590	1.470	354.628
3512734775.186	26.444	28.882	1.155	352.642
3512734776.189	23.783	29.294	1.890	352.338
3512734777.187	22.181	28.797	0.945	350.772
3512734778.187	23.922	28.272	0.630	348.576
3512734779.187	24.357	28.833	0.105	346.590
3512734780.187	26.240	28.578	0.105	345.549
3512734781.186	23.531	28.675	1.365	344.299
3512734782.186	21.597	28.892	1.050	342.839
3512734783.188	25.904	29.003	0.000	341.273
3512734784.181	20.811	28.771	3.465	338.761
3512734785.188	25.447	28.930	0.210	338.352
3512734786.185	25.258	28.759	0.840	337.417
3512734787.188	26.696	28.456	0.210	335.326
3512734788.188	27.481	29.015	0.315	334.180
3512734789.187	23.244	28.638	0.945	333.350
3512734790.188	26.066	28.928	0.315	331.259
3512734791.189	27.326	28.286	1.050	329.694
3512734792.188	24.465	28.975	1.995	325.500
3512734793.188	20.970	28.928	2.310	327.929
3512734794.198	25.526	29.755	0.315	328.255
3512734795.388	21.935	29.159	2.100	327.845
3512734796.393	22.727	29.063	1.680	326.280
3512734797.389	25.967	28.954	1.680	321.035
3512734798.388	26.794	29.048	0.315	320.731
3512734799.396	24.511	28.980	0.315	320.637
3512734800.389	22.922	28.650	0.840	319.702
3512734801.394	27.878	28.249	1.470	317.716
3512734802.390	23.123	29.126	0.000	317.727
3512734803.392	27.552	28.578	1.890	316.476
3512734804.384	21.446	28.808	2.520	314.700
3512734805.408	25.401	29.111	1.155	314.606
3512734806.388	25.358	28.930	0.105	313.881
3512734807.392	24.413	28.785	0.840	311.580
3512734808.392	25.649	28.420	1.155	311.381
3512734809.390	25.578	28.868	0.630	310.446
3512734810.391	27.720	29.219	1.050	309.406
3512734811.391	25.095	28.966	0.105	307.314
3512734812.391	20.685	29.027	3.150	309.532
3512734813.390	27.977	28.785	0.525	306.285
3512734814.392	25.340	28.868	0.210	306.611
3512734815.390	23.919	29.096	0.840	307.148
3512734816.391	26.022	29.183	0.105	304.846
3512734817.393	26.389	29.147	0.315	304.752
3512734818.392	24.953	29.099	1.260	304.343
3512734819.392	26.418	28.674	0.840	305.089
3512734820.394	22.670	29.072	0.315	304.575
3512734821.393	21.966	29.403	1.155	303.430
3512734822.390	25.594	28.819	0.630	304.597
3512734823.395	26.358	28.299	0.315	303.451
3512734824.394	25.822	28.493	0.525	303.567
3512734825.394	24.302	28.675	0.000	303.894
3512734826.394	23.893	29.065	0.525	304.430
3512734827.394	20.058	29.029	2.520	304.441
3512734828.394	28.634	28.845	1.995	303.611
3512734829.395	26.208	28.310	0.840	302.676
3512734830.394	21.940	29.150	2.520	303.213
3512734831.395	22.573	28.418	0.420	302.908
3512734832.396	25.801	28.357	0.630	302.394
3512734833.394	24.636	28.578	0.840	302.089
3512734834.395	24.449	28.407	0.210	301.995
3512734835.396	22.903	28.517	0.840	302.111
3512734836.395	23.252	29.303	0.945	302.332
3512734837.395	26.090	28.152	0.525	301.817
3512734838.396	22.861	28.638	0.525	301.618
3512734839.395	28.169	27.982	1.050	300.788
3512734840.395	26.912	28.939	0.105	301.955
3512734841.396	24.056	28.602	0.525	300.390
3512734842.395	23.069	28.088	0.420	300.085
3512734843.397	23.664	28.078	0.735	300.517
3512734844.396	23.595	29.168	1.155	299.792
3512734845.397	28.056	28.395	1.155	298.541
3512734846.398	28.933	28.274	1.365	297.922
3512734847.397	21.827	28.663	0.420	299.404
3512734848.397	23.982	28.468	0.735	299.100
3512734849.396	24.187	28.188	0.420	298.375
3512734850.397	25.100	28.359	1.050	297.125
3512734851.397	26.108	28.176	0.630	296.715
3512734852.396	25.547	28.323	1.470	296.621
3512734853.397	26.077	28.771	0.315	295.371
3512734854.395	24.751	28.456	0.210	295.592
3512734855.396	27.235	27.823	0.840	294.236
3512734856.398	20.323	28.529	2.730	294.247
3512734857.398	28.103	28.286	1.680	292.997
3512734858.396	24.733	28.178	0.420	292.062
3512734859.398	21.950	28.493	1.785	292.073
3512734860.398	23.681	27.970	1.470	290.087
3512734861.399	24.961	28.299	0.840	289.572
