-1.0001	0
-0.99991	0
-0.99971	0
-0.99951	0
-0.99931	0
-0.99911	0
-0.99891	0
-0.99871	0
-0.99851	0
-0.99831	0.0066419
-0.99811	0.0066419
-0.99791	0.0066419
-0.99771	0
-0.99751	0
-0.99731	-0.0066419
-0.99711	0
-0.99691	0
-0.99671	0.0066419
-0.99651	0
-0.99631	0.0066419
-0.99611	-0.0066419
-0.99591	0
-0.99571	0
-0.99551	0
-0.99531	0
-0.99511	0
-0.99491	0
-0.99471	0
-0.99451	0
-0.99431	0
-0.99411	0
-0.99391	0.0066419
-0.99371	0
-0.99351	0.0066419
-0.99331	0
-0.99311	0
-0.99291	0
-0.99271	0.0066419
-0.99251	0.0066419
-0.99231	0.0066419
-0.99211	0
-0.99191	0.0066419
-0.99171	0.0066419
-0.99151	0.0066419
-0.99131	0.0066419
-0.99111	0.0066419
-0.99091	0
-0.99071	0.0066419
-0.99051	-0.0066419
-0.99031	0
-0.99011	0
-0.98991	0.0066419
-0.98971	0
-0.98951	0.0066419
-0.98931	0.0066419
-0.98911	0.0066419
-0.98891	0
-0.98871	0.0066419
-0.98851	0
-0.98831	0.0066419
-0.98811	0.013284
-0.98791	0.0066419
-0.98771	0
-0.98751	0
-0.98731	0
-0.98711	0
-0.98691	0.0066419
-0.98671	0
-0.98651	0.0066419
-0.98631	0
-0.98611	0
-0.98591	0.0066419
-0.98571	0
-0.98551	0.0066419
-0.98531	0.0066419
-0.98511	0
-0.98491	0
-0.98471	0
-0.98451	0
-0.98431	0
-0.98411	0
-0.98391	0.0066419
-0.98371	0
-0.98351	0
-0.98331	0
-0.98311	0.0066419
-0.98291	0.0066419
-0.98271	0.0066419
-0.98251	-0.0066419
-0.98231	0
-0.98211	0.0066419
-0.98191	0
-0.98171	0
-0.98151	0
-0.98131	0
-0.98111	0
-0.98091	0.0066419
-0.98071	0
-0.98051	0
-0.98031	0
-0.98011	0
-0.97991	0.0066419
-0.97971	0.0066419
-0.97951	0
-0.97931	-0.0066419
-0.97911	0.0066419
-0.97891	0
-0.97871	0
-0.97851	0
-0.97831	0
-0.97811	0
-0.97791	0
-0.97771	0.0066419
-0.97751	0.0066419
-0.97731	0.0066419
-0.97711	0.0066419
-0.97691	-0.0066419
-0.97671	0.0066419
